 [-55.0, -74.0, -85.0, -71.0, -70.0, -72.0],
 [-73.0, -72.0, -82.0, -61.0, -75.0, -74.0],
 [-72.0, -70.0, -81.0, -61.0, -71.0, -74.0],
 [-71.0, -69.0, -80.0, -63.0, -69.0, -75.0],
 [-70.0, -71.0, -79.0, -64.0, -68.0, -75.0],
 [-70.0, -73.0, -80.0, -66.0, -70.0, -74.0],
 [-68.0, -73.0, -79.0, -68.0, -71.0, -72.0],
 [-67.0, -72.0, -81.0, -70.0, -71.0, -72.0],
 [-64.0, -73.0, -84.0, -71.0, -71.0, -79.0],
 [-60.0, -75.0, -86.0, -71.0, -72.0, -80.0],
 [-60.0, -75.0, -84.0, -71.0, -72.0, -72.0],
 [-72.0, -73.0, -83.0, -55.0, -77.0, -77.0],
 [-71.0, -72.0, -82.0, -56.0, -73.0, -75.0],
 [-70.0, -70.0, -81.0, -61.0, -70.0, -74.0],
 [-70.0, -72.0, -82.0, -64.0, -70.0, -73.0],
 [-70.0, -74.0, -84.0, -66.0, -72.0, -74.0],
 [-70.0, -75.0, -83.0, -68.0, -73.0, -74.0],
 [-69.0, -75.0, -83.0, -69.0, -73.0, -76.0],
 [-66.0, -76.0, -85.0, -71.0, -72.0, -81.0],
 [-63.0, -77.0, -88.0, -71.0, -73.0, -82.0],
 [-65.0, -77.0, -86.0, -72.0, -75.0, -74.0],
 [-72.0, -74.0, -81.0, -53.0, -79.0, -80.0],
 [-71.0, -74.0, -81.0, -54.0, -76.0, -78.0],
 [-71.0, -72.0, -82.0, -61.0, -74.0, -74.0],
 [-71.0, -72.0, -85.0, -65.0, -73.0, -73.0],
 [-71.0, -74.0, -87.0, -68.0, -74.0, -73.0],
 [-71.0, -76.0, -86.0, -68.0, -74.0, -75.0],
 [-71.0, -78.0, -83.0, -69.0, -73.0, -76.0],
 [-70.0, -78.0, -84.0, -70.0, -72.0, -79.0],
 [-69.0, -78.0, -87.0, -72.0, -75.0, -80.0],
 [-70.0, -77.0, -87.0, -73.0, -77.0, -76.0]]
